doctor_id,chemist_id,distance_km,rank,proximity_weight,low_coverage_flag
DOC001,CHEM078,0.4397704209802518,1,0.6,0
DOC001,CHEM079,0.5349914088321208,2,0.3,0
DOC001,CHEM004,0.8292512010204179,3,0.1,0
DOC002,CHEM045,0.918128044008802,1,0.6,0
DOC002,CHEM026,1.3162734228592226,2,0.3,0
DOC002,CHEM075,1.402862907953856,3,0.1,0
DOC003,CHEM027,0.9478682678000939,1,0.6,0
DOC003,CHEM041,0.9520488392442283,2,0.3,0
DOC003,CHEM090,1.0902554442541565,3,0.1,0
DOC004,CHEM097,0.47962642917270115,1,0.6,0
DOC004,CHEM066,0.6054947482791179,2,0.3,0
DOC004,CHEM009,0.949753790547368,3,0.1,0
DOC005,CHEM085,0.3756530176247312,1,0.6,0
DOC005,CHEM019,0.8001848176374402,2,0.3,0
DOC005,CHEM094,1.2103574106650532,3,0.1,0
DOC006,CHEM094,0.1908150346041247,1,0.6,0
DOC006,CHEM147,0.31437273022820994,2,0.3,0
DOC006,CHEM115,0.823309036304314,3,0.1,0
DOC007,CHEM025,0.6038435922815976,1,0.6,0
DOC007,CHEM063,0.7889655952497098,2,0.3,0
DOC007,CHEM124,0.850073209752169,3,0.1,0
DOC008,CHEM092,0.08030902306916503,1,0.6,0
DOC008,CHEM010,0.2952127151306995,2,0.3,0
DOC008,CHEM143,0.6287359146492197,3,0.1,0
DOC009,CHEM049,0.48443031719455876,1,0.6,0
DOC009,CHEM055,0.8902270648799492,2,0.3,0
DOC009,CHEM090,1.0081760816518142,3,0.1,0
DOC010,CHEM080,0.6519563670018884,1,0.6,0
DOC010,CHEM107,0.7381784793172729,2,0.3,0
DOC010,CHEM140,0.8702432089253836,3,0.1,0
DOC011,CHEM123,0.540720739207687,1,0.6,0
DOC011,CHEM037,0.6871176418704534,2,0.3,0
DOC011,CHEM036,0.9034841849124448,3,0.1,0
DOC012,CHEM115,0.37331044266383356,1,0.6,0
DOC012,CHEM042,0.6621499364007083,2,0.3,0
DOC012,CHEM125,0.7053103450839308,3,0.1,0
DOC013,CHEM072,0.6127191680110519,1,0.6,0
DOC013,CHEM026,0.8613417188585651,2,0.3,0
DOC013,CHEM109,1.2637557630435035,3,0.1,0
DOC014,CHEM036,0.5403877458172887,1,0.6,0
DOC014,CHEM037,0.7757941890631506,2,0.3,0
DOC014,CHEM111,0.8028168385056031,3,0.1,0
DOC015,CHEM129,0.4450497245712027,1,0.6,0
DOC015,CHEM051,0.5424836354409794,2,0.3,0
DOC015,CHEM113,0.6948360546768552,3,0.1,0
DOC016,CHEM065,0.2703430832186791,1,0.6,0
DOC016,CHEM059,0.5214785236616194,2,0.3,0
DOC016,CHEM035,0.9894573748030738,3,0.1,0
DOC017,CHEM012,0.4299906190407782,1,0.6,0
DOC017,CHEM088,0.5756211191054796,2,0.3,0
DOC017,CHEM060,1.0042696825637705,3,0.1,0
DOC018,CHEM133,0.5834783954051808,1,0.6,0
DOC018,CHEM022,0.5835653495476414,2,0.3,0
DOC018,CHEM041,0.608446068273235,3,0.1,0
DOC019,CHEM006,0.35287145661204267,1,0.6,0
DOC019,CHEM061,0.3596298182341095,2,0.3,0
DOC019,CHEM052,0.7307084664632164,3,0.1,0
DOC020,CHEM098,0.5002688621856559,1,0.6,0
DOC020,CHEM106,0.543063591733884,2,0.3,0
DOC020,CHEM024,0.7198329117861249,3,0.1,0
DOC021,CHEM041,1.2120372103267245,1,0.6,0
DOC021,CHEM133,1.2929738053684956,2,0.3,0
DOC021,CHEM022,1.3513763406364405,3,0.1,0
DOC022,CHEM054,0.3141572333065327,1,0.6,0
DOC022,CHEM148,0.6657184239960412,2,0.3,0
DOC022,CHEM065,1.0282739537061973,3,0.1,0
DOC023,CHEM019,0.13963524718032103,1,0.6,0
DOC023,CHEM085,1.0473447473494741,2,0.3,0
DOC023,CHEM115,1.1179156778824197,3,0.1,0
DOC024,CHEM017,0.37853532097479253,1,0.6,0
DOC024,CHEM108,0.6213044610243472,2,0.3,0
DOC024,CHEM011,0.872302863351363,3,0.1,0
DOC025,CHEM144,0.07135964378247181,1,0.6,0
DOC025,CHEM088,0.47717335310777037,2,0.3,0
DOC025,CHEM012,1.047127503282764,3,0.1,0
DOC026,CHEM027,1.0314850823956265,1,0.6,0
DOC026,CHEM041,1.053770670840975,2,0.3,0
DOC026,CHEM090,1.133666229932781,3,0.1,0
DOC027,CHEM032,0.30816374923733486,1,0.6,0
DOC027,CHEM128,0.3761782609040785,2,0.3,0
DOC027,CHEM048,0.3976020582841589,3,0.1,0
DOC028,CHEM133,1.4193523250022324,1,0.65,0
DOC028,CHEM041,1.4651829034641306,2,0.35,0
DOC029,CHEM110,0.09722452914003557,1,0.6,0
DOC029,CHEM040,0.48880663680296194,2,0.3,0
DOC029,CHEM034,0.6801010910141072,3,0.1,0
DOC030,CHEM018,0.4752822041415893,1,0.6,0
DOC030,CHEM009,0.9945882784824361,2,0.3,0
DOC030,CHEM116,1.1090560423319,3,0.1,0
DOC031,CHEM075,0.10175922331597517,1,0.6,0
DOC031,CHEM081,0.25437546659042753,2,0.3,0
DOC031,CHEM073,0.3828801666581807,3,0.1,0
DOC032,CHEM011,0.43422418432364074,1,0.6,0
DOC032,CHEM017,0.7765427342006841,2,0.3,0
DOC032,CHEM108,0.9177176713261244,3,0.1,0
DOC033,CHEM119,0.24071078172206517,1,0.6,0
DOC033,CHEM101,0.7210590213620477,2,0.3,0
DOC033,CHEM137,0.7868160512589383,3,0.1,0
DOC034,CHEM094,0.44126776337446744,1,0.6,0
DOC034,CHEM147,0.4828673442196755,2,0.3,0
DOC034,CHEM115,0.8030721050005672,3,0.1,0
DOC035,CHEM079,0.16747798434908803,1,0.6,0
DOC035,CHEM113,0.47310915837559947,2,0.3,0
DOC035,CHEM139,0.535128872790363,3,0.1,0
DOC036,CHEM074,0.56039903302447,1,0.6,0
DOC036,CHEM120,0.7514075411090372,2,0.3,0
DOC036,CHEM003,0.7947907983831444,3,0.1,0
DOC037,CHEM054,1.0146169864173813,1,0.6,0
DOC037,CHEM065,1.0524012679657149,2,0.3,0
DOC037,CHEM059,1.2758542771051176,3,0.1,0
DOC038,CHEM020,0.02902397600647403,1,0.6,0
DOC038,CHEM077,0.19243120531257593,2,0.3,0
DOC038,CHEM007,0.5297059881674396,3,0.1,0
DOC039,CHEM108,0.9231596937951085,1,0.6,0
DOC039,CHEM062,1.1729900102768365,2,0.3,0
DOC039,CHEM047,1.4903472198359287,3,0.1,0
DOC040,CHEM105,0.5978168574866928,1,1.0,0
DOC041,CHEM115,0.11583973956796102,1,0.6,0
DOC041,CHEM042,0.4350403696712735,2,0.3,0
DOC041,CHEM125,0.5023353113530526,3,0.1,0
DOC042,CHEM145,0.31656108497796914,1,0.6,0
DOC042,CHEM084,0.5012748245409546,2,0.3,0
DOC042,CHEM025,0.5026626812319718,3,0.1,0
DOC043,CHEM045,0.7932296031587347,1,0.6,0
DOC043,CHEM018,0.9576142301298629,2,0.3,0
DOC043,CHEM009,1.1785887984716896,3,0.1,0
DOC044,CHEM126,0.4468858061870211,1,0.6,0
DOC044,CHEM016,0.6058283745759652,2,0.3,0
DOC044,CHEM132,0.8449679806411098,3,0.1,0
DOC045,CHEM054,0.8650114235055609,1,0.6,0
DOC045,CHEM065,1.2252639455500782,2,0.3,0
DOC045,CHEM007,1.3725225080916061,3,0.1,0
DOC046,CHEM101,0.12475159835800721,1,0.6,0
DOC046,CHEM137,0.5589947744675393,2,0.3,0
DOC046,CHEM002,0.7621035845851027,3,0.1,0
DOC047,CHEM015,0.09534314154169612,1,0.6,0
DOC047,CHEM080,0.7499544344511451,2,0.3,0
DOC047,CHEM029,0.7712872082010901,3,0.1,0
DOC048,CHEM122,0.4519729438020796,1,0.6,0
DOC048,CHEM109,0.55334083479128,2,0.3,0
DOC048,CHEM026,0.6228669911095172,3,0.1,0
DOC049,CHEM053,0.8272563438023501,1,0.6,0
DOC049,CHEM010,0.9865892231095666,2,0.3,0
DOC049,CHEM095,0.9872609626540854,3,0.1,0
DOC050,CHEM033,0.4247761894011933,1,0.6,0
DOC050,CHEM063,0.8731949462027586,2,0.3,0
DOC050,CHEM069,0.8744904155245696,3,0.1,0
