doctor_id,molecule_id,month,proximity_score,leakage_score,hybrid_score,high_leakage_doctor
DOC001,MOL01,2025-01,30.6,35.26867001424509,27.387094729148053,0.0
DOC001,MOL01,2025-02,31.5,22.99244457290783,17.52114725387725,0.0
DOC001,MOL01,2025-03,0.0,142.05866101407946,62.76304009838773,1.0
DOC001,MOL01,2025-04,22.5,46.31879794914923,13.199487762962065,0.0
DOC001,MOL01,2025-05,0.0,71.48397538476324,14.63315948582998,1.0
DOC001,MOL01,2025-06,0.0,158.8622251072355,85.19204041842376,1.0
DOC001,MOL02,2025-02,55.199999999999996,0.0,41.39415042173746,0.0
DOC001,MOL02,2025-03,106.8,0.0,100.0,0.0
DOC001,MOL02,2025-04,53.1,0.0,37.29120116917109,0.0
DOC001,MOL03,2025-02,46.8,0.0,31.865496515304,0.0
DOC001,MOL03,2025-03,81.0,0.0,63.09963099630996,0.0
DOC001,MOL03,2025-04,82.8,0.0,52.176146161680094,0.0
DOC001,MOL04,2025-01,9.9,110.01730851105326,20.363499374282863,0.0
DOC001,MOL04,2025-02,0.0,127.7511687796641,50.10534870363625,1.0
DOC001,MOL04,2025-03,31.5,20.04392266040813,19.544259135083873,0.0
DOC001,MOL04,2025-04,0.0,121.2093324094443,58.62410107132513,1.0
DOC001,MOL04,2025-05,0.0,67.1650567331981,18.006275148216847,1.0
DOC001,MOL04,2025-06,0.0,89.06620193554448,39.40791803916688,1.0
DOC001,MOL05,2025-01,1.6,0.0,0.0,0.0
DOC001,MOL05,2025-02,46.199999999999996,0.0,27.136828001892578,0.0
DOC001,MOL05,2025-05,57.0,0.0,30.994152046783636,0.0
DOC001,MOL05,2025-06,109.3,0.0,34.87978327124957,0.0
DOC002,MOL01,2025-01,123.19999999999999,0.0,100.0,0.0
DOC002,MOL01,2025-03,6.7,0.0,0.07123601239993782,0.0
DOC002,MOL02,2025-02,122.39999999999999,0.0,97.58984553973256,0.0
DOC002,MOL02,2025-04,13.8,0.0,3.9075062728516414,0.0
DOC002,MOL02,2025-05,33.6,0.0,18.074673511411728,0.0
DOC002,MOL02,2025-06,37.0,0.0,20.73557387444515,0.0
DOC002,MOL03,2025-02,64.80000000000001,0.0,47.75410973623122,0.0
DOC002,MOL03,2025-04,7.2,0.0,0.0,0.0
DOC002,MOL03,2025-05,72.8,0.0,39.714108141702916,0.0
DOC002,MOL03,2025-06,4.3,0.0,0.0,0.0
DOC002,MOL04,2025-01,8.4,85.0967399689557,15.905370975522464,0.0
DOC002,MOL04,2025-02,0.0,120.14489660341457,46.83400882166012,1.0
DOC002,MOL04,2025-03,118.19999999999999,43.31406244645288,79.08461176246927,0.0
DOC002,MOL04,2025-04,0.0,108.4284445150385,52.16262834520329,1.0
DOC002,MOL04,2025-05,192.59999999999997,17.47889784578151,81.55516166291468,0.0
DOC002,MOL04,2025-06,14.3,154.63361090937858,41.79609354318774,0.0
DOC002,MOL05,2025-01,37.199999999999996,106.88572146499699,40.29404725678564,0.0
DOC002,MOL05,2025-02,81.0,67.8849262224502,52.45297337266116,0.0
DOC002,MOL05,2025-03,84.7,43.64364416037711,38.70320395067964,0.0
DOC002,MOL05,2025-04,0.0,117.36224455243669,40.639828140998134,1.0
DOC002,MOL05,2025-05,10.5,136.9518645213485,28.926113173348174,0.0
DOC002,MOL05,2025-06,100.2,117.72238961764715,37.54626815866882,0.0
DOC003,MOL01,2025-01,78.6,0.0,63.04888152444076,0.0
DOC003,MOL01,2025-02,49.5,0.0,27.524523946912872,0.0
DOC003,MOL01,2025-03,107.39999999999999,0.0,71.80590049913744,0.0
DOC003,MOL02,2025-01,0.0,69.62620681766997,21.248337050824347,1.0
DOC003,MOL02,2025-02,0.0,56.2400127911438,26.587037886750036,1.0
DOC003,MOL02,2025-03,10.799999999999999,28.08840163482015,12.794123942154798,0.0
DOC003,MOL02,2025-04,0.0,61.90738852766511,27.243467020632238,1.0
DOC003,MOL02,2025-05,46.199999999999996,103.18516486727292,43.5096783744645,0.0
DOC003,MOL02,2025-06,0.0,48.592745327487165,17.81557612660628,1.0
DOC003,MOL03,2025-01,53.1,0.0,35.08403361344537,0.0
DOC003,MOL03,2025-03,12.600000000000001,0.0,0.0,0.0
DOC003,MOL03,2025-05,57.9,0.0,30.453697949036663,0.0
DOC003,MOL03,2025-06,56.4,0.0,41.08933688119401,0.0
DOC003,MOL04,2025-01,19.6,0.0,8.705882352941178,0.0
DOC003,MOL04,2025-03,6.5,0.0,0.0,0.0
DOC003,MOL04,2025-05,44.1,0.0,17.618327706073174,0.0
DOC003,MOL04,2025-06,97.8,0.0,67.30442925456406,0.0
DOC003,MOL05,2025-01,0.0,79.18048950012407,32.75839643485656,1.0
DOC003,MOL05,2025-02,0.0,33.07352405358927,11.629953869761273,1.0
DOC003,MOL05,2025-03,0.0,39.37805224437912,11.831366482929603,1.0
DOC003,MOL05,2025-04,0.0,41.22225617639897,7.549872306127322,1.0
DOC003,MOL05,2025-05,0.0,24.79072484250618,4.696003830412032,1.0
DOC003,MOL05,2025-06,38.7,25.16396202988754,10.900097305552267,0.0
