chemist_id,molecule_id,month,order_type,attributed_doctor_id,leakage_weight,orphan_flag
CHEM065,MOL04,2025-06,new_sku,DOC002,0.0820113889693402,0
CHEM065,MOL04,2025-06,new_sku,DOC013,0.08577380397536605,0
CHEM065,MOL04,2025-06,new_sku,DOC017,0.07087828719271036,0
CHEM065,MOL04,2025-06,new_sku,DOC022,0.22390114625414623,0
CHEM065,MOL04,2025-06,new_sku,DOC025,0.06005946043961616,0
CHEM065,MOL04,2025-06,new_sku,DOC027,0.06202676943703159,0
CHEM065,MOL04,2025-06,new_sku,DOC034,0.18395884866933615,0
CHEM065,MOL04,2025-06,new_sku,DOC036,0.06547189473370787,0
CHEM065,MOL04,2025-06,new_sku,DOC038,0.09273814563101104,0
CHEM065,MOL04,2025-06,new_sku,DOC039,0.0731802546977344,0
CHEM093,MOL01,2025-06,new_sku,DOC010,0.08233709598884113,0
CHEM093,MOL01,2025-06,new_sku,DOC029,0.3004769609301036,0
CHEM093,MOL01,2025-06,new_sku,DOC032,0.08892521742872932,0
CHEM093,MOL01,2025-06,new_sku,DOC042,0.11863362496775787,0
CHEM093,MOL01,2025-06,new_sku,DOC049,0.25568018002641907,0
CHEM093,MOL01,2025-06,new_sku,DOC050,0.15394692065814902,0
CHEM061,MOL04,2025-03,new_sku,DOC002,0.09828248918881038,0
CHEM061,MOL04,2025-03,new_sku,DOC010,0.07911215426706117,0
CHEM061,MOL04,2025-03,new_sku,DOC011,0.09677326109046591,0
CHEM061,MOL04,2025-03,new_sku,DOC013,0.07182536960453426,0
CHEM061,MOL04,2025-03,new_sku,DOC014,0.09919653746422374,0
CHEM061,MOL04,2025-03,new_sku,DOC020,0.09805610944193001,0
CHEM061,MOL04,2025-03,new_sku,DOC022,0.07652307360683433,0
CHEM061,MOL04,2025-03,new_sku,DOC039,0.08827848056011023,0
CHEM061,MOL04,2025-03,new_sku,DOC047,0.08375824785268636,0
CHEM061,MOL04,2025-03,new_sku,DOC049,0.12061223986166364,0
CHEM061,MOL04,2025-03,new_sku,DOC050,0.08758203706168004,0
CHEM071,MOL05,2025-01,new_sku,DOC002,0.09992697362199968,0
CHEM071,MOL05,2025-01,new_sku,DOC004,0.06577031120627067,0
CHEM071,MOL05,2025-01,new_sku,DOC008,0.04604323397580502,0
CHEM071,MOL05,2025-01,new_sku,DOC012,0.048040731973031825,0
CHEM071,MOL05,2025-01,new_sku,DOC017,0.04702849747266666,0
CHEM071,MOL05,2025-01,new_sku,DOC019,0.08312505207319286,0
CHEM071,MOL05,2025-01,new_sku,DOC024,0.14538923101260817,0
CHEM071,MOL05,2025-01,new_sku,DOC029,0.05636195398667949,0
CHEM071,MOL05,2025-01,new_sku,DOC037,0.07777035470368483,0
CHEM071,MOL05,2025-01,new_sku,DOC038,0.05721936878629334,0
CHEM071,MOL05,2025-01,new_sku,DOC044,0.05505646846832236,0
CHEM071,MOL05,2025-01,new_sku,DOC045,0.08185120064319161,0
CHEM071,MOL05,2025-01,new_sku,DOC047,0.042540667605360634,0
CHEM071,MOL05,2025-01,new_sku,DOC048,0.09387595447089284,0
CHEM003,MOL01,2025-05,new_sku,DOC016,0.18521690978474498,0
CHEM003,MOL01,2025-05,new_sku,DOC023,0.15919196866522609,0
CHEM003,MOL01,2025-05,new_sku,DOC026,0.13852716218290798,0
CHEM003,MOL01,2025-05,new_sku,DOC028,0.11800188048385074,0
CHEM003,MOL01,2025-05,new_sku,DOC041,0.18076794156870496,0
CHEM003,MOL01,2025-05,new_sku,DOC045,0.21829413731456523,0
CHEM040,MOL03,2025-01,new_sku,DOC007,0.09522482224404841,0
CHEM040,MOL03,2025-01,new_sku,DOC008,0.20888598781480494,0
CHEM040,MOL03,2025-01,new_sku,DOC011,0.14968688543736625,0
CHEM040,MOL03,2025-01,new_sku,DOC014,0.16091622466426903,0
CHEM040,MOL03,2025-01,new_sku,DOC019,0.10643153404366594,0
CHEM040,MOL03,2025-01,new_sku,DOC020,0.05847381034989716,0
CHEM040,MOL03,2025-01,new_sku,DOC024,0.07499633900914744,0
CHEM040,MOL03,2025-01,new_sku,DOC031,0.059843501800649235,0
CHEM040,MOL03,2025-01,new_sku,DOC044,0.08554089463615161,0
CHEM128,MOL01,2025-06,new_sku,DOC001,0.18054401741215836,0
CHEM128,MOL01,2025-06,new_sku,DOC015,0.2623489209734568,0
CHEM128,MOL01,2025-06,new_sku,DOC016,0.0737300654977252,0
CHEM128,MOL01,2025-06,new_sku,DOC030,0.11346663742734794,0
CHEM128,MOL01,2025-06,new_sku,DOC033,0.09016349848098018,0
CHEM128,MOL01,2025-06,new_sku,DOC041,0.06918141484705263,0
CHEM128,MOL01,2025-06,new_sku,DOC043,0.1338109189951519,0
